percentile,threshold,dataset,name,n,rate
99.0,6.876150015879692,ROAD_attack,correlated_signal_attack_1.log,4172,1.0
99.0,6.876150015879692,ROAD_attack,correlated_signal_attack_2.log,4279,1.0
99.0,6.876150015879692,ROAD_attack,correlated_signal_attack_3.log,2529,1.0
99.0,6.876150015879692,ROAD_attack,fuzzing_attack_1.log,8569,0.08017271560275412
99.0,6.876150015879692,ROAD_attack,fuzzing_attack_2.log,5097,0.07828134196586227
99.0,6.876150015879692,ROAD_attack,fuzzing_attack_3.log,1663,0.079374624173181
99.0,6.876150015879692,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.0,6.876150015879692,ROAD_attack,max_speedometer_attack_1.log,4887,0.0010231225700838961
99.0,6.876150015879692,ROAD_attack,max_speedometer_attack_2.log,6279,0.004777830864787387
99.0,6.876150015879692,ROAD_attack,max_speedometer_attack_3.log,12214,0.0012280989028983134
99.0,6.876150015879692,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.0,6.876150015879692,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.0,6.876150015879692,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.0,6.876150015879692,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.0,6.876150015879692,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.0,6.876150015879692,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.0,6.876150015879692,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,0.013208427719043939
99.0,6.876150015879692,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,0.011424149887554249
99.0,6.876150015879692,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.007111944099886069
99.0,6.876150015879692,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.01156923707773022
99.0,6.876150015879692,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.009723673590219143
99.5,8.198411153639048,ROAD_attack,correlated_signal_attack_1.log,4172,0.9781879194630873
99.5,8.198411153639048,ROAD_attack,correlated_signal_attack_2.log,4279,0.9443795279270858
99.5,8.198411153639048,ROAD_attack,correlated_signal_attack_3.log,2529,0.9347568208778173
99.5,8.198411153639048,ROAD_attack,fuzzing_attack_1.log,8569,0.07527132687594819
99.5,8.198411153639048,ROAD_attack,fuzzing_attack_2.log,5097,0.07376888365705317
99.5,8.198411153639048,ROAD_attack,fuzzing_attack_3.log,1663,0.07456404088995791
99.5,8.198411153639048,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.5,8.198411153639048,ROAD_attack,max_speedometer_attack_1.log,4887,0.0010231225700838961
99.5,8.198411153639048,ROAD_attack,max_speedometer_attack_2.log,6279,0.002229654403567447
99.5,8.198411153639048,ROAD_attack,max_speedometer_attack_3.log,12214,0.0009006058621254298
99.5,8.198411153639048,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.5,8.198411153639048,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.5,8.198411153639048,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.5,8.198411153639048,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.5,8.198411153639048,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.5,8.198411153639048,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.5,8.198411153639048,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,0.004783583706195893
99.5,8.198411153639048,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,0.004011756034087234
99.5,8.198411153639048,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.002421197663310949
99.5,8.198411153639048,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.004249379304146586
99.5,8.198411153639048,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.003284238438746929
99.7,8.899195092370565,ROAD_attack,correlated_signal_attack_1.log,4172,0.9197027804410355
99.7,8.899195092370565,ROAD_attack,correlated_signal_attack_2.log,4279,0.8459920542182753
99.7,8.899195092370565,ROAD_attack,correlated_signal_attack_3.log,2529,0.8351126927639383
99.7,8.899195092370565,ROAD_attack,fuzzing_attack_1.log,8569,0.07410432956004201
99.7,8.899195092370565,ROAD_attack,fuzzing_attack_2.log,5097,0.07219933294094566
99.7,8.899195092370565,ROAD_attack,fuzzing_attack_3.log,1663,0.07276007215874924
99.7,8.899195092370565,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.7,8.899195092370565,ROAD_attack,max_speedometer_attack_1.log,4887,0.0
99.7,8.899195092370565,ROAD_attack,max_speedometer_attack_2.log,6279,0.0015926102882624622
99.7,8.899195092370565,ROAD_attack,max_speedometer_attack_3.log,12214,8.18732601932209e-05
99.7,8.899195092370565,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.7,8.899195092370565,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.7,8.899195092370565,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.7,8.899195092370565,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.7,8.899195092370565,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.7,8.899195092370565,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,0.002841600496377461
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,0.002391822674178093
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.0015955537063896028
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.002543167851886803
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.0019672537643495662
99.8,9.15387017245498,ROAD_attack,correlated_signal_attack_1.log,4172,0.8763183125599233
